"","Age","Ethnicity"
"1",21,"Asian Indian"
"2",26,"Asian Indian"
"3",45,"Korean"
"4",20,"Vietnamese"
"5",21,"Chinese"
"6",26,"Asian Indian"
"7",66,"Vietnamese"
"8",23,"Chinese"
"9",26,"Chinese"
"10",59,"Vietnamese"
"11",28,"Asian Indian"
"12",19,"Korean"
"13",61,"Vietnamese"
"14",25,"Filipino"
"15",69,"Asian Indian"
"16",40,"Korean"
"17",18,"Korean"
"18",50,"Korean"
"19",25,"Asian Indian"
"20",46,"Korean"
"21",22,"Vietnamese"
"22",41,"Chinese"
"23",24,"Asian Indian"
"24",30,"Filipino"
"25",32,"Asian Indian"
"26",68,"Chinese"
"27",19,"Asian Indian"
"28",31,"Asian Indian"
"29",48,"Korean"
"30",68,"Korean"
"31",34,"Chinese"
"32",51,"Chinese"
"33",49,"Korean"
"34",25,"Korean"
"35",81,"Chinese"
"36",58,"Vietnamese"
"37",46,"Korean"
"38",72,"Asian Indian"
"39",53,"Asian Indian"
"40",42,"Filipino"
"41",43,"Korean"
"42",57,"Vietnamese"
"43",65,"Chinese"
"44",57,"Korean"
"45",77,"Asian Indian"
"46",18,"Korean"
"47",32,"Vietnamese"
"48",27,"Asian Indian"
"49",25,"Chinese"
"50",44,"Filipino"
"51",49,"Filipino"
"52",71,"Chinese"
"53",32,"Korean"
"54",33,"Korean"
"55",25,"Korean"
"56",58,"Korean"
"57",58,"Korean"
"58",24,"Vietnamese"
"59",69,"Korean"
"60",33,"Vietnamese"
"61",63,"Vietnamese"
"62",28,"Asian Indian"
"63",40,"Asian Indian"
"64",23,"Chinese"
"65",74,"Korean"
"66",57,"Chinese"
"67",71,"Chinese"
"68",28,"Filipino"
"69",57,"Vietnamese"
"70",60,"Vietnamese"
"71",37,"Asian Indian"
"72",35,"Asian Indian"
"73",29,"Asian Indian"
"74",31,"Korean"
"75",45,"Filipino"
"76",27,"Asian Indian"
"77",34,"Filipino"
"78",21,"Korean"
"79",82,"Korean"
"80",64,"Vietnamese"
"81",51,"Korean"
"82",37,"Chinese"
"83",45,"Korean"
"84",58,"Chinese"
"85",25,"Chinese"
"86",67,"Chinese"
"87",32,"Asian Indian"
"88",74,"Korean"
"89",66,"Asian Indian"
"90",64,"Chinese"
"91",47,"Chinese"
"92",44,"Korean"
"93",44,"Filipino"
"94",40,"Chinese"
"95",18,"Chinese"
"96",20,"Vietnamese"
"97",61,"Korean"
"98",32,"Korean"
"99",20,"Chinese"
"100",73,"Asian Indian"
"101",38,"Chinese"
"102",52,"Vietnamese"
"103",33,"Chinese"
"104",70,"Filipino"
"105",21,"Chinese"
"106",57,"Chinese"
"107",35,"Korean"
"108",73,"Vietnamese"
"109",32,"Asian Indian"
"110",74,"Asian Indian"
"111",53,"Asian Indian"
"112",23,"Korean"
"113",69,"Filipino"
"114",28,"Asian Indian"
"115",32,"Vietnamese"
"116",67,"Korean"
"117",50,"Vietnamese"
"118",46,"Korean"
"119",34,"Korean"
"120",69,"Chinese"
"121",21,"Korean"
"122",39,"Chinese"
"123",51,"Chinese"
"124",49,"Asian Indian"
"125",36,"Chinese"
"126",25,"Chinese"
"127",44,"Korean"
"128",33,"Asian Indian"
"129",34,"Korean"
"130",48,"Asian Indian"
"131",48,"Asian Indian"
"132",57,"Vietnamese"
"133",32,"Chinese"
"134",41,"Vietnamese"
"135",50,"Chinese"
"136",46,"Filipino"
"137",65,"Chinese"
"138",73,"Asian Indian"
"139",66,"Korean"
"140",32,"Chinese"
"141",38,"Vietnamese"
"142",18,"Vietnamese"
"143",57,"Chinese"
"144",26,"Asian Indian"
"145",25,"Asian Indian"
"146",59,"Korean"
"147",21,"Chinese"
"148",32,"Vietnamese"
"149",18,"Chinese"
"150",27,"Asian Indian"
"151",24,"Korean"
"152",65,"Korean"
"153",28,"Chinese"
"154",31,"Vietnamese"
"155",45,"Vietnamese"
"156",29,"Asian Indian"
"157",27,"Korean"
"158",56,"Filipino"
"159",25,"Asian Indian"
"160",31,"Korean"
"161",61,"Vietnamese"
"162",43,"Vietnamese"
"163",30,"Asian Indian"
"164",67,"Chinese"
"165",65,"Chinese"
"166",32,"Vietnamese"
"167",31,"Asian Indian"
"168",29,"Chinese"
"169",35,"Vietnamese"
"170",19,"Chinese"
"171",45,"Chinese"
"172",26,"Vietnamese"
"173",35,"Korean"
"174",45,"Korean"
"175",53,"Chinese"
"176",59,"Vietnamese"
"177",45,"Korean"
"178",42,"Korean"
"179",46,"Filipino"
"180",70,"Asian Indian"
"181",50,"Vietnamese"
"182",51,"Chinese"
"183",28,"Asian Indian"
"184",45,"Chinese"
"185",22,"Vietnamese"
"186",43,"Korean"
"187",75,"Vietnamese"
"188",74,"Vietnamese"
"189",67,"Vietnamese"
"190",32,"Asian Indian"
"191",22,"Korean"
"192",28,"Asian Indian"
"193",42,"Chinese"
"194",76,"Vietnamese"
"195",44,"Vietnamese"
"196",22,"Filipino"
"197",31,"Asian Indian"
"198",25,"Chinese"
"199",49,"Chinese"
"200",30,"Asian Indian"
"201",30,"Filipino"
"202",23,"Korean"
"203",41,"Filipino"
"204",34,"Chinese"
"205",62,"Vietnamese"
"206",24,"Chinese"
"207",35,"Chinese"
"208",25,"Asian Indian"
"209",76,"Korean"
"210",45,"Filipino"
"211",30,"Asian Indian"
"212",26,"Vietnamese"
"213",45,"Korean"
"214",71,"Asian Indian"
"215",54,"Chinese"
"216",65,"Vietnamese"
"217",23,"Vietnamese"
"218",52,"Vietnamese"
"219",54,"Chinese"
"220",24,"Chinese"
"221",32,"Chinese"
"222",32,"Chinese"
"223",25,"Asian Indian"
"224",64,"Chinese"
"225",21,"Chinese"
"226",60,"Chinese"
"227",34,"Chinese"
"228",49,"Korean"
"229",69,"Asian Indian"
"230",43,"Filipino"
"231",67,"Asian Indian"
"232",72,"Filipino"
"233",19,"Chinese"
"234",46,"Chinese"
"235",35,"Filipino"
"236",50,"Korean"
"237",49,"Filipino"
"238",42,"Korean"
"239",22,"Chinese"
"240",28,"Chinese"
"241",26,"Asian Indian"
"242",51,"Filipino"
"243",54,"Asian Indian"
"244",84,"Asian Indian"
"245",20,"Vietnamese"
"246",72,"Filipino"
"247",30,"Asian Indian"
"248",31,"Korean"
"249",40,"Filipino"
"250",34,"Filipino"
"251",42,"Chinese"
"252",19,"Vietnamese"
"253",20,"Chinese"
"254",21,"Korean"
"255",21,"Chinese"
"256",42,"Chinese"
"257",30,"Asian Indian"
"258",68,"Vietnamese"
"259",47,"Vietnamese"
"260",49,"Vietnamese"
"261",37,"Asian Indian"
"262",27,"Vietnamese"
"263",44,"Filipino"
"264",60,"Chinese"
"265",68,"Korean"
"266",28,"Vietnamese"
"267",20,"Chinese"
"268",26,"Asian Indian"
"269",61,"Filipino"
"270",48,"Chinese"
"271",34,"Asian Indian"
"272",39,"Korean"
"273",73,"Chinese"
"274",72,"Korean"
"275",24,"Vietnamese"
"276",19,"Vietnamese"
"277",30,"Chinese"
"278",21,"Chinese"
"279",76,"Vietnamese"
"280",33,"Asian Indian"
"281",55,"Chinese"
"282",32,"Asian Indian"
"283",20,"Chinese"
"284",20,"Asian Indian"
"285",61,"Chinese"
"286",48,"Asian Indian"
"287",50,"Vietnamese"
"288",22,"Chinese"
"289",64,"Vietnamese"
"290",34,"Chinese"
"291",27,"Chinese"
"292",49,"Chinese"
"293",22,"Vietnamese"
"294",40,"Asian Indian"
"295",78,"Asian Indian"
"296",26,"Chinese"
"297",28,"Chinese"
"298",67,"Filipino"
"299",76,"Korean"
"300",29,"Asian Indian"
"301",50,"Asian Indian"
"302",55,"Vietnamese"
"303",70,"Chinese"
"304",19,"Chinese"
"305",62,"Chinese"
"306",30,"Asian Indian"
"307",62,"Chinese"
"308",23,"Chinese"
"309",32,"Asian Indian"
"310",28,"Asian Indian"
"311",35,"Asian Indian"
"312",40,"Filipino"
"313",26,"Asian Indian"
"314",25,"Asian Indian"
"315",25,"Chinese"
"316",27,"Asian Indian"
"317",27,"Chinese"
"318",29,"Korean"
"319",28,"Asian Indian"
"320",25,"Asian Indian"
"321",24,"Chinese"
"322",41,"Filipino"
"323",28,"Asian Indian"
"324",31,"Asian Indian"
"325",29,"Asian Indian"
"326",43,"Filipino"
